date,date_id,date_name,day,day_number_of_year,days_in_month,first_day_of_month,first_day_of_month_id,is_leap_year,is_weekday,iso_day,iso_day_id,iso_last_year_day_id,iso_week,iso_week_id,iso_year,iso_year_id,last_day_of_month,last_day_of_month_id,month,month_id,month_name,previous_day_id,previous_month_id,previous_quarter_id,previous_year_id,quarter,quarter_id,short_month_name,weekday,year,year_id
2017-04-10,20170410,"April 10, 2017",10,100,30,2017-04-01,20170401,0,1,1,2017151,2016151,15,201715,2017,2017,2017-04-30,20170430,4,201704,April,20170409,201703,20171,2016,2,20172,Apr,1,2017,2017
2017-04-11,20170411,"April 11, 2017",11,101,30,2017-04-01,20170401,0,1,2,2017152,2016152,15,201715,2017,2017,2017-04-30,20170430,4,201704,April,20170410,201703,20171,2016,2,20172,Apr,2,2017,2017
2017-04-12,20170412,"April 12, 2017",12,102,30,2017-04-01,20170401,0,1,3,2017153,2016153,15,201715,2017,2017,2017-04-30,20170430,4,201704,April,20170411,201703,20171,2016,2,20172,Apr,3,2017,2017
2017-04-13,20170413,"April 13, 2017",13,103,30,2017-04-01,20170401,0,1,4,2017154,2016154,15,201715,2017,2017,2017-04-30,20170430,4,201704,April,20170412,201703,20171,2016,2,20172,Apr,4,2017,2017
2017-04-14,20170414,"April 14, 2017",14,104,30,2017-04-01,20170401,0,1,5,2017155,2016155,15,201715,2017,2017,2017-04-30,20170430,4,201704,April,20170413,201703,20171,2016,2,20172,Apr,5,2017,2017
2017-04-15,20170415,"April 15, 2017",15,105,30,2017-04-01,20170401,0,0,6,2017156,2016156,15,201715,2017,2017,2017-04-30,20170430,4,201704,April,20170414,201703,20171,2016,2,20172,Apr,6,2017,2017
2017-04-16,20170416,"April 16, 2017",16,106,30,2017-04-01,20170401,0,0,7,2017157,2016157,15,201715,2017,2017,2017-04-30,20170430,4,201704,April,20170415,201703,20171,2016,2,20172,Apr,7,2017,2017
2017-04-17,20170417,"April 17, 2017",17,107,30,2017-04-01,20170401,0,1,1,2017161,2016161,16,201716,2017,2017,2017-04-30,20170430,4,201704,April,20170416,201703,20171,2016,2,20172,Apr,1,2017,2017
2017-04-18,20170418,"April 18, 2017",18,108,30,2017-04-01,20170401,0,1,2,2017162,2016162,16,201716,2017,2017,2017-04-30,20170430,4,201704,April,20170417,201703,20171,2016,2,20172,Apr,2,2017,2017
2017-04-19,20170419,"April 19, 2017",19,109,30,2017-04-01,20170401,0,1,3,2017163,2016163,16,201716,2017,2017,2017-04-30,20170430,4,201704,April,20170418,201703,20171,2016,2,20172,Apr,3,2017,2017
2017-04-20,20170420,"April 20, 2017",20,110,30,2017-04-01,20170401,0,1,4,2017164,2016164,16,201716,2017,2017,2017-04-30,20170430,4,201704,April,20170419,201703,20171,2016,2,20172,Apr,4,2017,2017
2017-04-21,20170421,"April 21, 2017",21,111,30,2017-04-01,20170401,0,1,5,2017165,2016165,16,201716,2017,2017,2017-04-30,20170430,4,201704,April,20170420,201703,20171,2016,2,20172,Apr,5,2017,2017
2017-04-22,20170422,"April 22, 2017",22,112,30,2017-04-01,20170401,0,0,6,2017166,2016166,16,201716,2017,2017,2017-04-30,20170430,4,201704,April,20170421,201703,20171,2016,2,20172,Apr,6,2017,2017
2017-04-23,20170423,"April 23, 2017",23,113,30,2017-04-01,20170401,0,0,7,2017167,2016167,16,201716,2017,2017,2017-04-30,20170430,4,201704,April,20170422,201703,20171,2016,2,20172,Apr,7,2017,2017
2017-04-24,20170424,"April 24, 2017",24,114,30,2017-04-01,20170401,0,1,1,2017171,2016171,17,201717,2017,2017,2017-04-30,20170430,4,201704,April,20170423,201703,20171,2016,2,20172,Apr,1,2017,2017
2017-04-25,20170425,"April 25, 2017",25,115,30,2017-04-01,20170401,0,1,2,2017172,2016172,17,201717,2017,2017,2017-04-30,20170430,4,201704,April,20170424,201703,20171,2016,2,20172,Apr,2,2017,2017
2017-04-26,20170426,"April 26, 2017",26,116,30,2017-04-01,20170401,0,1,3,2017173,2016173,17,201717,2017,2017,2017-04-30,20170430,4,201704,April,20170425,201703,20171,2016,2,20172,Apr,3,2017,2017
